Airbnb Host ID,Airbnb Property ID,superhost_period_all,Predicted_Occupancy_Rate
24676863.0,4786970.0,20.0,0.004401578024535211
24705990.0,4793938.0,20.0,0.07104366266200576
24267774.0,4803582.0,20.0,0.0040863394095727885
24705990.0,4840199.0,20.0,0.1251772425812815
24705990.0,4840753.0,20.0,0.009016165272668877
597871.0,4852830.0,20.0,0.009049788690920721
21922655.0,4872152.0,20.0,0.05565359721063304
23197213.0,4923963.0,20.0,0.13257822190229004
25666494.0,4978940.0,20.0,0.020572665519463677
25668821.0,4979274.0,20.0,0.3592903579851332
24705990.0,5014976.0,20.0,0.13233068929608624
25947013.0,5027850.0,20.0,0.12808207129253757
10209853.0,5074013.0,20.0,0.11451256241509983
25668821.0,5095370.0,20.0,0.18899196388904246
10613587.0,5102125.0,20.0,0.07331674854821335
1407749.0,5117490.0,20.0,0.043632932216497486
26735844.0,5169411.0,20.0,0.33054990166621656
26874445.0,5195252.0,20.0,0.18086497824599035
26874445.0,5205377.0,20.0,0.43584507540434514
8813383.0,5210927.0,20.0,0.18458749599685317
24676863.0,5321981.0,20.0,0.034530209632242855
4698713.0,5359984.0,20.0,0.03360393532760831
16680094.0,5383435.0,20.0,0.12222590448428547
2768284.0,5414283.0,20.0,0.02386789846498667
22567195.0,5480976.0,20.0,0.11397504045778967
27552102.0,5509147.0,20.0,0.2268329760618872
28715964.0,5537682.0,20.0,0.053815714562668385
28715964.0,5537683.0,20.0,0.006183522042605195
12549865.0,5571262.0,20.0,0.033448794901035764
28501460.0,5576191.0,20.0,0.6227037955952973
10929290.0,5601166.0,20.0,0.03445033889354077
29044814.0,5602585.0,20.0,0.005069796440744156
17052211.0,5632638.0,20.0,0.02076597996904335
13195824.0,5645139.0,20.0,0.01158354157835388
29456819.0,5681790.0,20.0,0.00460256063738973
33004.0,5694572.0,20.0,0.042510795718759584
22567195.0,5712768.0,20.0,0.08882587803720489
29730367.0,5733394.0,20.0,0.6682720989742725
30052358.0,5794319.0,20.0,0.8151270809144505
250400.0,5804791.0,20.0,0.5549447780366752
250400.0,5805991.0,20.0,0.14872146577326031
21143101.0,5814832.0,20.0,0.8677314812331439
30356781.0,5847065.0,20.0,0.03275739672586171
